id,name,slug,type,country,adult_fee/day,child_fee/day,region,description,latitude,longitude,area_size_km2,wildlife,activities,highlights,entry_fee_adult,entry_fee_child,featured_image_url
1,Maasai Mara,maasai-mara,National Reserve,Kenya,200(Peak),50,Narok County,Vast rolling plains famous for the Great Migration and high density of big cats.,-1.49,35.144,1510,,,,200,50,https://unsplash.com/s/photos/masai-mara
2,Amboseli,amboseli,National_Park,Kenya,90,45,Kajiado County,Famous for its massive elephant herds and spectacular views of Mt. Kilimanjaro.,-2.641,37.24,392,,,"['Mt. Kilimanjaro Views', 'Large Elephant Herds']",90,50,https://unsplash.com/s/photos/amboseli
3,Watamu Marine,watamu-marine,Marine Park,Kenya,25,15,Kilifi County,UNESCO Biosphere Reserve featuring coral gardens and home to green turtles.,-3.368,40.016,10,,,"['Coral Gardens', 'Mida Creek']",25,15,https://unsplash.com/s/photos/watamu
4,Kisite Mpunguti,kisite-mpunguti,Marine Park,Kenya,35,15,Kwale County,"Known as the 'Home of the Dolphins,' offering snorkeling over coral reefs.",-4.714,39.362,39,,,,25,15,https://unsplash.com/s/photos/marine-kenya
5,Nairobi Museum,nairobi-museum,Heritage Site,Kenya,15,10,Nairobi County,"Showcases Kenya's heritage with prehistoric fossils, artifacts, and art.",-1.273,36.815,0,['None'],,"['Cradle of Mankind', 'Murumbi Collection']",15,10,https://unsplash.com/s/photos/nairobi-museum
6,Hell's Gate,hells-gate,National Park,Kenya,50,25,Nakuru County,"Scenic park with dramatic cliffs, allowing cycling and hiking past wildlife.",-0.892,36.319,68,,,,50,25,https://unsplash.com/s/photos/hells-gate
7,Mt. Kenya,mt-kenya,National Park,Kenya,70,35,Central Highlands,"Africa's second-highest peak, featuring glaciers and moorlands for hiking.",-0.15,37.308,715,,,"['Point Lenana', 'Alpine Glaciers']",70,35,https://unsplash.com/s/photos/mount-kenya
8,Mt. Longonot,mt-longonot,National Park,Kenya,50,25,Nakuru County,"Extinct volcano with a thick forest inside its crater, popular for rim hiking.",-0.915,36.453,52,"['Zebra', 'Giraffe', 'Grant Gazelle']",,,50,25,https://unsplash.com/s/photos/mount-longonot
9,Lake Naivasha,lake-naivasha,Freshwater Lake,Kenya,N/A,N/A,Nakuru County,"Freshwater lake known for hippos and birdlife, offering boat safaris.",-0.717,36.431,0,"['Hippo', 'Fish Eagle', 'Giraffe']",,,0,0,https://unsplash.com/s/photos/lake-naivasha
10,Fort Jesus,fort-jesus,Heritage Site,Kenya,15,10,Mombasa County,UNESCO site and 16th-century fortress showcasing Swahili history.,-4.062,39.679,0,['None'],,,15,10,https://unsplash.com/s/photos/fort-jesus
11,Gede Ruins,gede-ruins,National Monument,Kenya,10,5,Kilifi County,"13th-century Swahili settlement ruins, now a national monument.",-3.31,40.015,0,,,,10,5,https://unsplash.com/s/photos/gede-ruins
12,Malindi Marine,malindi-marine,Marine Park,Kenya,25,15,Kilifi County,"Features fringing reefs and seagrass beds, ideal for snorkeling.",-3.22,40.133,6,,,,25,15,https://unsplash.com/s/photos/malindi
13,Karura Forest,karura-forest,Forest Reserve,Kenya,10,5,Nairobi County,Urban forest with waterfalls and trails for cycling and bird watching.,-1.237,36.827,10,,,,10,5,https://unsplash.com/photos/hiking-kenya
14,Tsavo East,tsavo-east,National Park,Kenya,80,40,Taita-Taveta County,"Kenya's largest park, famous for 'red' elephants and the Yatta Plateau.",-2.774,38.775,11747,,,,80,40,https://unsplash.com/s/photos/tsavo
15,Tsavo West,tsavo-west,National_Park,Kenya,80,40,Taita-Taveta County,"Rugged landscape with Mzima Springs, rhino sanctuary, and lava flows.",-2.992,38.114,9065,,,,80,40,https://unsplash.com/s/photos/tsavo-west
16,Lake Nakuru,lake-nakuru,National Park,Kenya,90,45,Nakuru County,Alkaline lake famous for seasonal flamingo flocks and rhino sanctuary.,-0.367,36.083,188,,,,90,45,https://unsplash.com/s/photos/lake-nakuru
17,Samburu,samburu,National Reserve,Kenya,90,50,Samburu County,Arid landscape home to the 'Samburu Special Five' and rich culture.,0.625,37.533,165,,,,90,50,https://unsplash.com/photos/samburu-zebra
18,Ol Pejeta,ol-pejeta,Conservancy,Kenya,110,55,Laikipia County,Conservancy hosting the last northern white rhinos and a chimp sanctuary.,0.012,36.953,360,,,,110,55,https://unsplash.com/s/photos/ol-pejeta
19,Aberdare,aberdare,National Park,Kenya,70,40,Central Highlands,High-altitude park with thick rainforest and spectacular waterfalls.,-0.417,36.75,766,,,,80,40,https://unsplash.com/s/photos/aberdare
20,Meru,meru,National Park,Kenya,70,40,Meru County,"Untamed wilderness with jungles, birthplace of the 'Born Free' story.",0.183,38.2,870,,,,80,40,https://unsplash.com/s/photos/kenya-safari
21,Bomas of Kenya,bomas-of-kenya,Cultural Center,Kenya,10,5,Nairobi County,Cultural center displaying traditional homesteads and tribal dances.,-1.339,36.772,0,['None'],,,10,5,https://unsplash.com/s/photos/kenyan-culture
22,Kiunga Marine,kiunga-marine,Marine Reserve,Kenya,25,15,Lamu County,Encompasses an archipelago with coral reefs and turtle nesting sites.,-1.821,41.273,270,,,,25,15,https://unsplash.com/s/photos/marine-reserve
23,Mombasa Marine,mombasa-marine,Marine Park,Kenya,25,15,Mombasa County,Popular for watersports and rich marine life near coastal resorts.,-4.017,39.717,10,,,,25,15,https://unsplash.com/s/photos/mombasa
24,Arabuko Sokoke,arabuko-sokoke,Forest Reserve,Kenya,15,10,Kilifi County,"Largest coastal forest in East Africa, home to endemic species.",-3.267,39.917,420,,,,15,10,https://unsplash.com/s/photos/coastal-forest
25,Shimba Hills,shimba-hills,National Reserve,Kenya,25,15,Kwale County,Coastal rainforest with high biodiversity and rare sable antelope.,-4.257,39.388,192.5,,,,25,15,https://unsplash.com/s/photos/shimba-hills
26,Taita Hills Wildlife Sanctuary,taita-hills-wildlife-sanctuary,Wildlife Sanctuary,Kenya,35,20,Taita-Taveta County,"Private sanctuary famous for stilt lodges and World War I history.",-3.500,38.250,110,"['Elephant', 'Lion', 'Buffalo']",,"['Salt Lick Lodge', 'WWI Museum']",35,20,https://unsplash.com/s/photos/taita-hills
